Organism_Name	Temperature_Range
Alteromonas naphthalenivorans	Mesophile
Photorhabdus laumondii subsp. laumondii TTO1	Mesophile
Rubinisphaera brasiliensis DSM 5305	Mesophile
Planctopirus limnophila DSM 3776	Mesophile
Sphaerochaeta coccoides DSM 17374	Mesophile
Turneriella parva DSM 21527	Mesophile
Kineococcus radiotolerans SRS30216 = ATCC BAA-149	Mesophile
Mycolicibacterium vanbaalenii PYR-1	Mesophile
Segniliparus rotundus DSM 44985	Mesophile
Coriobacterium glomerans PW2	Mesophile
Sanguibacter keddieii DSM 10542	Mesophile
Brachybacterium faecium DSM 4810	Mesophile
Beutenbergia cavernae DSM 12333	Mesophile
Deinococcus proteolyticus MRP	Mesophile
Deinococcus peraridilitoris DSM 19664	Mesophile
Pediococcus pentosaceus ATCC 25745	Mesophile
Evansella cellulosilytica DSM 2522	Mesophile
Halanaerobium hydrogeniformans	Mesophile
Desulfitobacterium metallireducens DSM 15288	Mesophile
Desulfosporosinus acidiphilus SJ4	Mesophile
Weissella koreensis KACC 15510	Mesophile
Acetobacterium woodii DSM 1030	Mesophile
Desulfosporosinus orientis DSM 765	Mesophile
Paenibacillus terrae HPL-003	Mesophile
Mesoplasma florum L1	Mesophile
Niabella soli DSM 19437	Mesophile
Cellulosilyticum lentocellum DSM 5427	Mesophile
Francisella hispaniensis	Mesophile
Alkalihalobacillus halodurans C-125	Mesophile
Denitrovibrio acetiphilus DSM 12809	Mesophile
Geobacter sulfurreducens PCA	Mesophile
Desulfobulbus propionicus DSM 2032	Mesophile
Desulfohalobium retbaense DSM 5692	Mesophile
Halanaerobium praevalens DSM 2228	Mesophile
Desulfoscipio gibsoniae DSM 7213	Mesophile
Syntrophus aciditrophicus SB	Mesophile
Sediminispirochaeta smaragdinae DSM 11293	Mesophile
Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	Mesophile
Ruminiclostridium cellulolyticum H10	Mesophile
Acetoanaerobium sticklandii	Mesophile
Prevotella ruminicola 23	Mesophile
Prevotella melaninogenica ATCC 25845	Mesophile
Phocaeicola salanitronis DSM 18170	Mesophile
Bacteroides helcogenes P 36-108	Mesophile
Capnocytophaga ochracea DSM 7271	Mesophile
Porphyromonas asaccharolytica DSM 20707	Mesophile
Barnesiella viscericola DSM 18177	Mesophile
Streptobacillus moniliformis DSM 12112	Mesophile
Sebaldella termitidis ATCC 33386	Mesophile
Leptotrichia buccalis C-1013-b	Mesophile
Bartonella tribocorum CIP 105476	Mesophile
Rhodospirillum centenum SW	Mesophile
Bartonella grahamii as4aup	Mesophile
Bartonella clarridgeiae 73	Mesophile
Bordetella avium 197N	Mesophile
Helicobacter hepaticus ATCC 51449	Mesophile
Campylobacter lari RM2100	Mesophile
Syntrophobacter fumaroxidans MPOB	Mesophile
Helicobacter acinonychis str. Sheeba	Mesophile
Campylobacter hominis ATCC BAA-381	Mesophile
Aliarcobacter butzleri ED-1	Mesophile
Desulfarculus baarsii DSM 2075	Mesophile
Desulfomonile tiedjei DSM 6799	Mesophile
Nitratifractor salsuginis DSM 16511	Mesophile
Desulfobacca acetoxidans DSM 11109	Mesophile
Helicobacter felis ATCC 49179	Mesophile
Methylococcus capsulatus str. Bath	Mesophile
Proteus mirabilis HI4320	Mesophile
Citrobacter rodentium ICC168	Mesophile
Legionella longbeachae NSW150	Mesophile
Chlamydia caviae GPIC	Mesophile
Chlamydia muridarum str. Nigg	Mesophile
Chlamydia felis Fe/C-56	Mesophile
Treponema denticola ATCC 35405	Mesophile
Brachyspira pilosicoli 95/1000	Mesophile
Treponema succinifaciens DSM 2489	Mesophile
Treponema brennaborense DSM 12168	Mesophile
Brachyspira murdochii DSM 12563	Mesophile
Brachyspira intermedia PWS/A	Mesophile
Spirochaeta africana DSM 8902	Mesophile
Aminobacterium colombiense DSM 12261	Mesophile
Bifidobacterium animalis subsp. lactis BLC1	Mesophile
Corynebacterium efficiens YS-314	Mesophile
Nocardia farcinica IFM 10152	Mesophile
Mycolicibacterium gilvum Spyr1	Mesophile
Olsenella uli DSM 7084	Mesophile
Rothia dentocariosa ATCC 17931	Mesophile
Mobiluncus curtisii ATCC 43063	Mesophile
Corynebacterium aurimucosum ATCC 700975	Mesophile
Corynebacterium kroppenstedtii DSM 44385	Mesophile
Corynebacterium resistens DSM 45100	Mesophile
Corynebacterium pseudotuberculosis C231	Mesophile
Cryptobacterium curtum DSM 15641	Mesophile
Saccharomonospora viridis DSM 43017	Mesophile
Ruminococcus albus 7 = DSM 20455	Mesophile
[Eubacterium] eligens ATCC 27750	Mesophile
Desulfotomaculum reducens MI-1	Mesophile
Listeria seeligeri serovar 1/2b str. SLCC3954	Mesophile
Clostridium ljungdahlii DSM 13528	Mesophile
Alkaliphilus oremlandii OhILAs	Mesophile
Clostridium cellulovorans 743B	Mesophile
Acetohalobium arabaticum DSM 5501	Mesophile
Acidaminococcus fermentans DSM 20731	Mesophile
Filifactor alocis ATCC 35896	Mesophile
Lactobacillus amylovorus GRL1118	Mesophile
[Clostridium] saccharolyticum WM1	Mesophile
Desulfotomaculum ruminis DSM 2154	Mesophile
Streptococcus pseudopneumoniae IS7493	Mesophile
Desulfofarcimen acetoxidans DSM 771	Mesophile
Desulfitobacterium dehalogenans ATCC 51507	Mesophile
Tepidanaerobacter acetatoxydans Re1	Mesophile
Mageeibacillus indolicus UPII9-5	Mesophile
Eubacterium callanderi	Mesophile
Mycoplasma genitalium G37	Mesophile
Ureaplasma urealyticum serovar 10 str. ATCC 33699	Mesophile
